sim_id,day,start_creatures,food_spawned,survivors,died,end_creatures
50,1,3,20,1,2,1
50,2,2,20,1,1,1
50,3,1,20,1,0,1
50,4,1,20,1,0,1
50,5,2,20,1,1,1
50,6,1,20,1,0,1
50,7,2,20,2,0,2
50,8,4,20,4,0,4
50,9,6,20,3,3,3
50,10,5,20,4,1,4
50,11,6,20,4,2,4
50,12,6,20,3,3,3
50,13,4,20,4,0,4
50,14,7,20,6,1,6
50,15,9,20,6,3,6
50,16,9,20,6,3,6
50,17,6,20,6,0,6
50,18,7,20,5,2,5
50,19,7,20,6,1,6
50,20,7,20,5,2,5
50,21,7,20,6,1,6
50,22,8,20,6,2,6
50,23,10,20,6,4,6
50,24,7,20,5,2,5
50,25,9,20,8,1,8
50,26,13,20,8,5,8
50,27,12,20,7,5,7
50,28,10,20,7,3,7
50,29,10,20,8,2,8
50,30,12,20,7,5,7
50,31,11,20,7,4,7
50,32,10,20,7,3,7
50,33,10,20,7,3,7
50,34,11,20,10,1,10
50,35,13,20,11,2,11
50,36,15,20,7,8,7
50,37,11,20,9,2,9
50,38,11,20,11,0,11
50,39,13,20,8,5,8
50,40,12,20,9,3,9
50,41,11,20,9,2,9
50,42,13,20,9,4,9
50,43,14,20,10,4,10
50,44,14,20,10,4,10
50,45,12,20,10,2,10
50,46,12,20,9,3,9
50,47,11,20,8,3,8
50,48,12,20,7,5,7
50,49,10,20,6,4,6
50,50,10,20,7,3,7
51,1,3,20,3,0,3
51,2,4,20,2,2,2
51,3,2,20,1,1,1
51,4,2,20,2,0,2
51,5,4,20,2,2,2
51,6,3,20,3,0,3
51,7,5,20,4,1,4
51,8,5,20,5,0,5
51,9,6,20,6,0,6
51,10,9,20,5,4,5
51,11,8,20,6,2,6
51,12,9,20,8,1,8
51,13,9,20,6,3,6
51,14,9,20,4,5,4
51,15,6,20,6,0,6
51,16,10,20,9,1,9
51,17,11,20,7,4,7
51,18,11,20,6,5,6
51,19,9,20,8,1,8
51,20,11,20,7,4,7
51,21,11,20,8,3,8
51,22,11,20,8,3,8
51,23,12,20,8,4,8
51,24,13,20,8,5,8
51,25,12,20,7,5,7
51,26,9,20,7,2,7
51,27,9,20,7,2,7
51,28,9,20,8,1,8
51,29,10,20,7,3,7
51,30,9,20,7,2,7
51,31,10,20,7,3,7
51,32,13,20,8,5,8
51,33,11,20,9,2,9
51,34,12,20,8,4,8
51,35,10,20,8,2,8
51,36,12,20,7,5,7
51,37,12,20,7,5,7
51,38,11,20,7,4,7
51,39,9,20,4,5,4
51,40,6,20,5,1,5
51,41,7,20,5,2,5
51,42,6,20,4,2,4
51,43,6,20,5,1,5
51,44,6,20,5,1,5
51,45,9,20,7,2,7
51,46,11,20,7,4,7
51,47,10,20,6,4,6
51,48,10,20,6,4,6
51,49,10,20,7,3,7
51,50,11,20,9,2,9
52,1,3,20,3,0,3
52,2,6,20,4,2,4
52,3,6,20,5,1,5
52,4,6,20,2,4,2
52,5,4,20,2,2,2
52,6,4,20,3,1,3
52,7,5,20,3,2,3
52,8,5,20,4,1,4
52,9,6,20,4,2,4
52,10,5,20,4,1,4
52,11,6,20,2,4,2
52,12,3,20,1,2,1
52,13,2,20,2,0,2
52,14,3,20,2,1,2
52,15,4,20,4,0,4
52,16,6,20,5,1,5
52,17,8,20,5,3,5
52,18,6,20,5,1,5
52,19,9,20,5,4,5
52,20,7,20,7,0,7
52,21,8,20,5,3,5
52,22,6,20,3,3,3
52,23,6,20,5,1,5
52,24,7,20,6,1,6
52,25,9,20,6,3,6
52,26,8,20,5,3,5
52,27,7,20,4,3,4
52,28,6,20,6,0,6
52,29,9,20,4,5,4
52,30,6,20,5,1,5
52,31,7,20,6,1,6
52,32,8,20,5,3,5
52,33,7,20,6,1,6
52,34,11,20,5,6,5
52,35,7,20,4,3,4
52,36,5,20,3,2,3
52,37,4,20,4,0,4
52,38,6,20,3,3,3
52,39,6,20,4,2,4
52,40,6,20,4,2,4
52,41,6,20,4,2,4
52,42,7,20,6,1,6
52,43,9,20,5,4,5
52,44,6,20,4,2,4
52,45,6,20,5,1,5
52,46,8,20,7,1,7
52,47,10,20,6,4,6
52,48,9,20,5,4,5
52,49,7,20,6,1,6
52,50,10,20,9,1,9
53,1,3,20,3,0,3
53,2,5,20,5,0,5
53,3,7,20,6,1,6
53,4,8,20,6,2,6
53,5,9,20,7,2,7
53,6,9,20,7,2,7
53,7,9,20,4,5,4
53,8,7,20,5,2,5
53,9,7,20,6,1,6
53,10,9,20,5,4,5
53,11,7,20,5,2,5
53,12,7,20,7,0,7
53,13,9,20,6,3,6
53,14,8,20,5,3,5
53,15,8,20,7,1,7
53,16,10,20,7,3,7
53,17,12,20,8,4,8
53,18,11,20,7,4,7
53,19,11,20,9,2,9
53,20,13,20,11,2,11
53,21,14,20,10,4,10
53,22,13,20,6,7,6
53,23,9,20,7,2,7
53,24,10,20,6,4,6
53,25,8,20,5,3,5
53,26,9,20,6,3,6
53,27,9,20,8,1,8
53,28,11,20,7,4,7
53,29,11,20,9,2,9
53,30,13,20,10,3,10
53,31,14,20,9,5,9
53,32,14,20,8,6,8
53,33,9,20,6,3,6
53,34,8,20,5,3,5
53,35,8,20,7,1,7
53,36,9,20,7,2,7
53,37,12,20,9,3,9
53,38,13,20,11,2,11
53,39,15,20,9,6,9
53,40,11,20,8,3,8
53,41,11,20,9,2,9
53,42,12,20,9,3,9
53,43,13,20,8,5,8
53,44,12,20,9,3,9
53,45,10,20,5,5,5
53,46,7,20,4,3,4
53,47,7,20,6,1,6
53,48,8,20,6,2,6
53,49,9,20,7,2,7
53,50,9,20,6,3,6
54,1,3,20,2,1,2
54,2,4,20,3,1,3
54,3,5,20,3,2,3
54,4,5,20,5,0,5
54,5,6,20,6,0,6
54,6,7,20,6,1,6
54,7,10,20,9,1,9
54,8,11,20,8,3,8
54,9,11,20,7,4,7
54,10,11,20,6,5,6
54,11,8,20,8,0,8
54,12,11,20,6,5,6
54,13,9,20,7,2,7
54,14,9,20,8,1,8
54,15,13,20,9,4,9
54,16,11,20,7,4,7
54,17,9,20,6,3,6
54,18,9,20,9,0,9
54,19,13,20,9,4,9
54,20,14,20,9,5,9
54,21,14,20,6,8,6
54,22,10,20,8,2,8
54,23,11,20,11,0,11
54,24,15,20,9,6,9
54,25,14,20,9,5,9
54,26,12,20,8,4,8
54,27,11,20,7,4,7
54,28,9,20,7,2,7
54,29,11,20,7,4,7
54,30,11,20,9,2,9
54,31,11,20,5,6,5
54,32,8,20,6,2,6
54,33,8,20,7,1,7
54,34,11,20,8,3,8
54,35,11,20,8,3,8
54,36,10,20,7,3,7
54,37,11,20,6,5,6
54,38,9,20,6,3,6
54,39,10,20,7,3,7
54,40,10,20,8,2,8
54,41,12,20,8,4,8
54,42,11,20,9,2,9
54,43,12,20,7,5,7
54,44,11,20,8,3,8
54,45,11,20,8,3,8
54,46,15,20,9,6,9
54,47,13,20,8,5,8
54,48,11,20,9,2,9
54,49,12,20,9,3,9
54,50,12,20,9,3,9
55,1,3,20,2,1,2
55,2,4,20,3,1,3
55,3,3,20,3,0,3
55,4,4,20,3,1,3
55,5,6,20,4,2,4
55,6,5,20,2,3,2
55,7,3,20,3,0,3
55,8,4,20,1,3,1
55,9,1,20,0,1,0
55,10,0,0,0,0,0
55,11,0,0,0,0,0
55,12,0,0,0,0,0
55,13,0,0,0,0,0
55,14,0,0,0,0,0
55,15,0,0,0,0,0
55,16,0,0,0,0,0
55,17,0,0,0,0,0
55,18,0,0,0,0,0
55,19,0,0,0,0,0
55,20,0,0,0,0,0
55,21,0,0,0,0,0
55,22,0,0,0,0,0
55,23,0,0,0,0,0
55,24,0,0,0,0,0
55,25,0,0,0,0,0
55,26,0,0,0,0,0
55,27,0,0,0,0,0
55,28,0,0,0,0,0
55,29,0,0,0,0,0
55,30,0,0,0,0,0
55,31,0,0,0,0,0
55,32,0,0,0,0,0
55,33,0,0,0,0,0
55,34,0,0,0,0,0
55,35,0,0,0,0,0
55,36,0,0,0,0,0
55,37,0,0,0,0,0
55,38,0,0,0,0,0
55,39,0,0,0,0,0
55,40,0,0,0,0,0
55,41,0,0,0,0,0
55,42,0,0,0,0,0
55,43,0,0,0,0,0
55,44,0,0,0,0,0
55,45,0,0,0,0,0
55,46,0,0,0,0,0
55,47,0,0,0,0,0
55,48,0,0,0,0,0
55,49,0,0,0,0,0
55,50,0,0,0,0,0
56,1,3,20,3,0,3
56,2,4,20,3,1,3
56,3,4,20,4,0,4
56,4,5,20,5,0,5
56,5,8,20,8,0,8
56,6,10,20,8,2,8
56,7,13,20,10,3,10
56,8,13,20,7,6,7
56,9,13,20,7,6,7
56,10,10,20,8,2,8
56,11,9,20,5,4,5
56,12,8,20,8,0,8
56,13,10,20,7,3,7
56,14,9,20,8,1,8
56,15,9,20,8,1,8
56,16,10,20,8,2,8
56,17,13,20,9,4,9
56,18,12,20,8,4,8
56,19,11,20,9,2,9
56,20,12,20,10,2,10
56,21,14,20,10,4,10
56,22,13,20,8,5,8
56,23,11,20,7,4,7
56,24,11,20,8,3,8
56,25,11,20,10,1,10
56,26,12,20,8,4,8
56,27,11,20,8,3,8
56,28,11,20,4,7,4
56,29,7,20,6,1,6
56,30,10,20,7,3,7
56,31,10,20,9,1,9
56,32,10,20,7,3,7
56,33,9,20,5,4,5
56,34,6,20,6,0,6
56,35,10,20,7,3,7
56,36,10,20,7,3,7
56,37,12,20,9,3,9
56,38,12,20,6,6,6
56,39,8,20,6,2,6
56,40,10,20,10,0,10
56,41,16,20,10,6,10
56,42,15,20,9,6,9
56,43,11,20,10,1,10
56,44,12,20,8,4,8
56,45,12,20,10,2,10
56,46,12,20,11,1,11
56,47,14,20,10,4,10
56,48,15,20,9,6,9
56,49,15,20,10,5,10
56,50,13,20,9,4,9
57,1,3,20,2,1,2
57,2,2,20,2,0,2
57,3,2,20,2,0,2
57,4,4,20,3,1,3
57,5,4,20,3,1,3
57,6,6,20,5,1,5
57,7,9,20,7,2,7
57,8,12,20,8,4,8
57,9,12,20,10,2,10
57,10,16,20,7,9,7
57,11,11,20,7,4,7
57,12,11,20,7,4,7
57,13,11,20,8,3,8
57,14,11,20,8,3,8
57,15,11,20,6,5,6
57,16,8,20,6,2,6
57,17,9,20,6,3,6
57,18,9,20,7,2,7
57,19,10,20,8,2,8
57,20,12,20,7,5,7
57,21,11,20,7,4,7
57,22,8,20,7,1,7
57,23,8,20,6,2,6
57,24,9,20,6,3,6
57,25,8,20,7,1,7
57,26,11,20,9,2,9
57,27,12,20,8,4,8
57,28,11,20,8,3,8
57,29,11,20,9,2,9
57,30,12,20,8,4,8
57,31,10,20,9,1,9
57,32,12,20,9,3,9
57,33,9,20,6,3,6
57,34,11,20,7,4,7
57,35,9,20,4,5,4
57,36,5,20,3,2,3
57,37,6,20,4,2,4
57,38,5,20,5,0,5
57,39,6,20,5,1,5
57,40,6,20,6,0,6
57,41,10,20,5,5,5
57,42,8,20,6,2,6
57,43,10,20,6,4,6
57,44,8,20,6,2,6
57,45,7,20,7,0,7
57,46,10,20,7,3,7
57,47,12,20,9,3,9
57,48,14,20,11,3,11
57,49,15,20,10,5,10
57,50,14,20,8,6,8
58,1,3,20,3,0,3
58,2,5,20,4,1,4
58,3,5,20,5,0,5
58,4,6,20,6,0,6
58,5,9,20,7,2,7
58,6,9,20,5,4,5
58,7,8,20,6,2,6
58,8,12,20,10,2,10
58,9,12,20,6,6,6
58,10,9,20,6,3,6
58,11,9,20,6,3,6
58,12,9,20,7,2,7
58,13,8,20,6,2,6
58,14,9,20,7,2,7
58,15,9,20,9,0,9
58,16,11,20,8,3,8
58,17,10,20,7,3,7
58,18,8,20,7,1,7
58,19,10,20,7,3,7
58,20,10,20,8,2,8
58,21,12,20,7,5,7
58,22,10,20,7,3,7
58,23,9,20,6,3,6
58,24,9,20,8,1,8
58,25,11,20,5,6,5
58,26,5,20,5,0,5
58,27,8,20,6,2,6
58,28,8,20,7,1,7
58,29,10,20,6,4,6
58,30,8,20,6,2,6
58,31,10,20,8,2,8
58,32,10,20,9,1,9
58,33,14,20,9,5,9
58,34,13,20,10,3,10
58,35,13,20,11,2,11
58,36,14,20,10,4,10
58,37,16,20,11,5,11
58,38,14,20,10,4,10
58,39,15,20,12,3,12
58,40,14,20,10,4,10
58,41,16,20,10,6,10
58,42,15,20,8,7,8
58,43,11,20,9,2,9
58,44,14,20,7,7,7
58,45,12,20,10,2,10
58,46,13,20,8,5,8
58,47,12,20,8,4,8
58,48,12,20,7,5,7
58,49,10,20,8,2,8
58,50,13,20,9,4,9
59,1,3,20,3,0,3
59,2,3,20,2,1,2
59,3,3,20,3,0,3
59,4,6,20,4,2,4
59,5,6,20,3,3,3
59,6,4,20,4,0,4
59,7,5,20,2,3,2
59,8,3,20,3,0,3
59,9,5,20,4,1,4
59,10,6,20,4,2,4
59,11,7,20,7,0,7
59,12,9,20,7,2,7
59,13,8,20,6,2,6
59,14,9,20,7,2,7
59,15,10,20,8,2,8
59,16,12,20,7,5,7
59,17,11,20,2,9,2
